key,value,note
battle.objective_panel_lab_capture,"战争目标：占据据点
当前控制：{0}
我方进度：{1}/{2}  敌方进度：{3}/{4}
{5}",模板文案
battle.objective_panel,"中央据点：{0}
我方据点进度：{1}/{2}
敌方据点进度：{3}/{4}",模板文案
battle_lab.battle_rule_line,天气：{0}  回合限制：{1},模板文案
battle.objective_contested,争夺中,界面文案
battle.unit_text,"{0}
兵种：{1}  编队：{2}
兵力：{3}/{4}
等级：{5}
经验：{6}
攻击：{7}
士气：{8}
移动：{9}  射程：{10}
状态：{11}",模板文案
battle.empty_hint,"点击蓝方军团选择。
绿色格：可移动。
红色格：可攻击。
拖动战场可移动视野。
步兵均衡，骑兵克弓兵，弓兵射程远。",界面文案
battle.unit_supply,补给：{0},模板文案
button.guard,防御,界面文案
button.wait,待命,界面文案
battle.log_panel,"军令：
{0}

战场日志：
{1}",模板文案
battle.status_guarding,防御中,界面文案
battle.status_acted,已攻击,界面文案
battle.status_moved,已移动，可攻击,界面文案
battle.status_ready,可移动/攻击,界面文案
battle.target_preview_acted,攻击预览：本回合已完成攻击。,界面文案
battle.target_preview_none,攻击预览：当前射程内没有敌军。,界面文案
battle.target_preview_title,攻击预览：,界面文案
battle.target_preview_row,{0}  伤害{1}{2},模板文案
battle.target_preview_counter, / 反击{0},模板文案
battle.msg.guard,{0}就地防御，本回合减伤提高。,模板文案
battle.msg.wait,{0}待命，保留阵型。,模板文案
battle.outcome_victory,战役胜利,界面文案
battle.outcome_defeat,战役失败,界面文案
battle.outcome_victory_body,敌军已被击溃，或中央据点已被我方巩固。,界面文案
battle.outcome_defeat_body,我方军团被迫撤退，或中央据点落入敌方掌控。,界面文案
button.back_battle_lab,返回工坊,界面文案
battle.msg.enemy_turn,现在是敌方回合，无法下令。,界面文案
battle.msg.cancel_unit,取消选择部队。,界面文案
battle.msg.unit_done,{0}已经行动完毕。,模板文案
battle.msg.unit_selected,选中{0}，绿色可移动，红色可攻击。,模板文案
battle.msg.enemy_info,敌军：{0}，HP {1}。,模板文案
battle.msg.select_first,请先选择蓝方军团。,界面文案
battle.msg.already_attacked,{0}本回合已经攻击。,模板文案
battle.msg.out_of_range,目标不在攻击范围内。,界面文案
battle.msg.cannot_move_after_attack,{0}已经攻击，不能再移动。,模板文案
battle.msg.already_moved,{0}本回合已经移动。,模板文案
battle.msg.invalid_move,目标格超出移动范围，或被地形/单位阻挡。,界面文案
battle.msg.moved_to,{0}移动至第{1}行第{2}列，可继续攻击。,模板文案
battle.attack_confirm_body,"{0}
-> {1}

预计伤害：{2}{3}
地形：{4}  抗性：{5}%
士气：{6} / {7}",模板文案
battle.counter_preview,"
预计反击：{0}",模板文案
battle.no_counter,"
目标无法反击",界面文案
battle.attack_confirm_title,确认攻击,界面文案
button.attack,开战,界面文案
button.cancel,取消,界面文案
battle.breakdown_supply_bad,补给：短缺会压低输出或防御。,界面文案
battle.breakdown_supply_good,补给：正常。,界面文案
battle.damage_breakdown,"影响：兵种克制 {0:+#;-#;0} / 熟练 +{1} / 士气 {2:+#;-#;0} / 敌等级 -{3} / 地形减伤 {4}%
{5}",模板文案
battle.msg.attack_damage,{0}攻击{1}，造成{2}伤害。,模板文案
battle.msg.routed,{0}溃散。,模板文案
battle.msg.counter_damage,{0}反击，造成{1}伤害。,模板文案
morale.high,高昂,界面文案
morale.up,上升,界面文案
morale.low,低落,界面文案
morale.chaos,混乱,界面文案
morale.normal,正常,界面文案
log.unit_level_up,{0}升至{1}级。,模板文案
battle.msg.enemy_turn_end,敌方行动结束，进入我方回合。,界面文案
battle.msg.enemy_ai,敌军正在调动部队。,界面文案
battle.msg.enemy_retreat,{0}收缩阵线。,模板文案
battle.msg.enemy_advance,{0}向我方推进。,模板文案
battle.msg.enemy_guard,{0}固守阵地。,模板文案
battle.msg.enemy_wait,{0}待命观察。,模板文案
battle_lab.trigger_log,战场剧情：{0},模板文案
battle_lab.action_log_victory,触发器动作：判定蓝方胜利。,界面文案
battle_lab.action_log_defeat,触发器动作：判定蓝方失败。,界面文案
battle_lab.action_log_morale,触发器动作：{0}士气 {1:+#;-#;0}。,模板文案
battle.side_player,蓝方,界面文案
battle.side_enemy,红方,界面文案
battle_lab.action_log_spawn_failed,触发器动作：没有空格可刷出援军。,界面文案
battle_lab.action_log_spawn,触发器动作：{0}援军出现在第{1}行第{2}列。,模板文案
battle_lab.trigger_actor_default,部队,界面文案
battle_lab.trigger_target_default,目标,界面文案
battle_lab.reach_objective_win,蓝方已抵达战争目标，测试胜利。,界面文案
battle_lab.turn_limit_defeat,已超过 {0} 回合限制，测试失败。,模板文案
battle_lab.test_victory,测试胜利。结果只用于验证关卡节奏，不会写入正式战绩。,界面文案
battle_lab.test_defeat,测试失败。关卡可以继续调整后重测。,界面文案
battle.msg.victory_capture,战斗胜利，{0}归入我方。,模板文案
battle.prisoner_name,{0}将领,模板文案
log.prisoner_captured,{0}将领被活捉。,模板文案
log.merit_reward,军令奖励：战功 +{0}。,模板文案
battle.msg.defeat,战斗失败，军团被迫撤退。,界面文案
log.command_removed,上级暂时解除你的指挥权。,界面文案
log.army_level_up,{0}升至{1}级。,模板文案
log.strategy_turn_end,回合结束：收入 {0}，军团恢复行军力并获得补给。,模板文案
log.enemy_capture,{0}攻陷{1}。,模板文案
log.enemy_attack_failed,{0}进攻{1}失败。,模板文案
log.enemy_occupy,{0}占据了{1}。,模板文案
log.player_objective_hold,我方正在巩固中央据点：{0}/{1}。,模板文案
log.enemy_objective_hold,敌方正在巩固中央据点：{0}/{1}。,模板文案
log.save_success_slot,系统：已保存到 {0}。,模板文案
log.save_missing,没有找到存档。,界面文案
save.invalid,存档已损坏或版本不兼容，未覆盖当前进度。,界面文案
save.latest,最近存档,界面文案
log.load_success_slot,系统：已读取 {0}。,模板文案
log.strategy_map_upgraded,系统：战略地图已升级为北美战区配置。,旧存档战略地图自动升级日志
save.load_failed_title,读取失败,界面文案
log.new_game_plus,第 {0} 周目开始，记忆回响已保留。,模板文案
button.main_story,主线,界面文案
relationship.more_hint,更多人物可在角色档案中查看。,界面文案
strategy.province_text,"省份：{0}
势力：{1}
城防：{2}
收入：{3}
驻军：{4}
道路：{5}",模板文案
battle_lab.body,"当前工具：{0}
地形：{1}
兵种：{2}
蓝方/红方：{3}/{4}
据点：{5},{6}

点击棋盘即可落子或修改格子。测试战斗不会写入正式战绩。",模板文案
battle_lab.msg_terrain,已设置地形：{0}。,模板文案
battle_lab.msg_erase,已擦除该格单位；无单位时会还原为平原。,界面文案
character_create.selected,"已选：{0}
{1}",模板文案
button.clear_selection,清空选择,界面文案
character_create.message_cleared,已清空。选择 1-3 个特性后确认。,界面文案
character_create.section_traits,选择特性,界面文案
character_create.message_removed,已移除特性。,界面文案
character_create.message_max,最多选择 3 个特性。,界面文案
character_create.message_selected_count,已选择 {0}/3 个特性。,模板文案
character_create.message_min,至少选择 1 个特性。,界面文案
character_create.bonus_summary,加成：战斗 攻击 +{0} / 兵力 +{1} / 移动 +{2}    社交 好感 +{3}    养成 进度 +{4}% / 体力消耗 -{5},模板文案
story.choice_effect_more,另有{0}项影响,模板文案
story.effect_target_world,局势,界面文案
story.effect_label,{0}{1}{2},模板文案
story.effect_kind_value,数值,界面文案
log.story_choice_effects,选择后果：{0},模板文案
story.choice_with_effects,{0}  |  {1},模板文案
strategy.army_extra_text,"补给：{0}
战术：{1}
情报：{2}",模板文案
academy.schedule_hint,课程与周末活动集中在这里，先选行动，再看右侧人物与事件。,界面文案
button.save,保存,界面文案
log.save_success,系统：已保存。,界面文案
log.load_success,系统：已读取存档。,界面文案
story.side_text,"类型：{0}
触发：{1}
进度：{2}/{3}
已完成主线：{4}
当前主线：{5}

提示：剧情选项会改变立场与人物好感。",模板文案
story.free_trigger,自由触发,界面文案
